#196
#196
#196
#0
#0
   Index      Gx      Gy      Gz
       0  -25424   -1360   20625
       1  -19099   -1294   26593
       2    8995  -19879  -24445
       3    5124  -17707   27090
       4  -19473  -24884    8674
       5  -14056   13433  -26374
       6   11084  -27204  -14515
       7  -31931   -6680    3072
       8   -7818   10658   29982
       9   11187   -4510   30466
      10   16984  -16784  -22437
      11  -10526   -3431   30839
      12   -9530   -9232   29959
      13  -27975  -17033    -958
      14    6874   25281   19678
      15   -7236   21691  -23468
      16  -31824    5879   -5127
      17    2226   18067   27244
      18   14849  -22055   19149
      19    4394   12149   30112
      20    4692   30781   10206
      21    5811   10682  -30426
      22    3281   23225   22879
      23  -14961    6396   28441
      24  -11462   28374   11713
      25   24886  -13001   16890
      26  -25923   12157   15933
      27   12741   29350   -7062
      28   25744  -17523   10189
      29   24485   -3132  -21548
      30  -27680   11187   13503
      31    8812    7395  -30680
      32   -1485   29287  -14619
      33  -11552    7462  -29741
      34  -16058  -10897  -26401
      35   -1915   24913   21197
      36  -24093  -18170   12767
      37   -7358  -29595  -11986
      38    2516   14028   29504
      39    8843    8038  -30509
      40   -9401   31131   -4014
      41  -13332   28907   -7761
      42  -24672   12734   17400
      43  -26414   -1305   19345
      44   21946   13075  -20520
      45   -2566   32659    -670
      46   10262  -30913   -3565
      47   30806    5720    9588
      48   26832  -12863   13720
      49   -3475  -27982   16690
      50  -29220    2094  -14677
      51  -26930  -14481   11776
      52    2486   31051   10164
      53  -23378    6183  -22110
      54   20650   -4877  -24968
      55  -31360   -9498    -107
      56  -12767   -1705   30128
      57    3583   30845  -10460
      58  -32208    2250    5587
      59  -19427  -19199  -18099
      60  -12200  -25566   16466
      61  -22629   17435  -16049
      62  -22041   24242     390
      63   29972   -2267   13046
      64   19859    4799   25617
      65    9723   -8554   30099
      66   27897  -16906    3094
      67    6479  -21698  -23682
      68   19004   13574  -22983
      69   -2135   28575  -15891
      70  -12253   20614   22328
      71  -12194  -25800  -16102
      72   16665   19279   20596
      73   -5057  -27669  -16807
      74   13161   10444   28131
      75  -17770  -25714   -9831
      76  -26027     953  -19883
      77    5158  -27945  -16312
      78   -6945  -31106    7604
      79   26913  -18608   -1750
      80   24225  -19806   -9721
      81  -12395   21212   21680
      82  -10218  -30627    5587
      83   10501   30867    3258
      84   17728    3444   27340
      85   -1102  -29588  -14034
      86  -28099      -3   16855
      87  -28010    3552   16627
      88   26283  -17929   -7834
      89  -25031  -20672    4444
      90  -12821  -11690  -27795
      91    9397  -11440  -29231
      92   11172  -30737    2018
      93  -24086  -12602   18294
      94    6655   14845   28442
      95    1392   21988  -24253
      96   24547  -21230    4510
      97   32176    5860   -2005
      98   -7092     450  -31987
      99   15276   26951  -10674
     100   23940   -3226  -22138
     101   -6152  -25765   19285
     102  -30341     -89  -12371
     103  -32175    5910    1869
     104   22673    8914  -21911
     105  -13297  -29192    6683
     106   27831    7600  -15533
     107   28083   13528   10097
     108  -30049   -4113   12399
     109   23352   16244   16262
     110   13538  -29662   -3241
     111    7478  -16549  -27273
     112   -4744  -27123  -17761
     113   10849   14906   27087
     114  -12669  -19854  -22781
     115  -24685   -2897   21352
     116   32200   -5521    2512
     117   -2411   -3274   32513
     118    5471  -16720  -27643
     119  -31188    9317   -3756
     120  -18430    8336  -25777
     121    5717  -11167   30270
     122    3852    2228  -32463
     123   18334   20320   18015
     124   11724   22445   20794
     125  -17136   14007   24162
     126    8916  -15890  -27233
     127   10563  -30314   -6567
     128   26691   10659  -15736
     129  -21132   15504   19664
     130  -31995   -5454   -4494
     131  -16197    9333   26911
     132  -13962  -21071  -20849
     133  -20036  -20799  -15478
     134   -6025   22310  -23229
     135  -20428    9355  -23849
     136   21985    2146   24201
     137   32185   -3233    5223
     138   16212   28286    3267
     139   18121   14279  -23267
     140  -16138   16672   23135
     141   10175   30102    7998
     142  -31211    2025   -9767
     143  -17463   27712     868
     144   30656   -9614   -6434
     145   15232   -8332  -27788
     146   26466    9094  -17044
     147   -1642  -21485  -24685
     148   -3042   25205  -20714
     149  -24761   13043  -17041
     150  -30864   -9573   -5421
     151   13324   -5012  -29512
     152  -16884    9596   26391
     153   14882   -1590   29148
     154  -10408   31064    -598
     155   -9907  -31225    -704
     156  -15551  -26808  -10634
     157  -19064   -4783   26217
     158  -10130  -29960   -8568
     159  -10316  -17833  -25479
     160   11841   24416   18366
     161   22167   23023   -7225
     162   28055    -162  -16928
     163   15292   28287   -6297
     164   18942    3935  -26445
     165  -20561   -8320  -24118
     166   11284  -10350   28969
     167   -6526  -11727   29892
     168   11843   30151    4928
     169  -10558   11397  -28849
     170  -26935    6785  -17380
     171   31113   -3605   -9623
     172   13931   20893   21049
     173    4967   -6360  -31757
     174   -8165  -10495  -29947
     175  -17503   17226  -21692
     176   11344   29145    9772
     177  -26134   12650   15185
     178  -31104    3528    9682
     179   23684   22413   -3216
     180  -27597  -17394    3080
     181    4460   29590  -13347
     182  -21389   18948   16035
     183  -22245  -12778  -20384
     184    -344   30393   12240
     185   -6376   24552  -20740
     186  -23436  -21215   -8618
     187   -3040   31569    8232
     188   12225  -24227   18364
     189   17786   -1945  -27450
     190   -2078  -16659   28139
     191  -15204   22716   18068
     192  -28291  -16508    -865
     193   25326   20360   -4203
     194   27096  -18091   -3487
     195   21976  -20727  -12690
